Student_ID,Name,Father_Name,Mother_Name,Age,Gender,Class,Section,Roll_Number,City,State,Attendance_Percentage,Study_Hours_Per_Day,Sleep_Hours,Screen_Time_Hours,Internet_Access,Owns_Smartphone,Tuition,Family_Income_Level,Parents_Education,Number_of_Siblings,Favourite_Subject,Least_Favourite_Subject,Favourite_Game,Favourite_Food,Food_Type,Career_Goal,Transportation_Mode,Skill_1,Skill_2,Participation_Activity,Sports_Participation,Library_Visits_Per_Month,Assignments_Completed,Projects_Completed,Homework_Submission_Rate,Discipline_Record,Stress_Level,Mental_Wellbeing_Score,Peer_Interaction_Score,Teacher_Feedback,Maths_Marks,Science_Marks,English_Marks,Hindi_Marks,Social_Science_Marks,Computer_Marks,Overall_Percentage,Result,Performance_Level
STU02980,Vedika Soman,Dhanush Manne,Ayesha Sehgal,12.0,Male,4th,A,45.0,,Maharashtra,67.57,6.3,6.5,9.4,No,,Yes,High,Post Graduate,3.0,,Social Science,Hockey,Pasta,Non-Vegetarian,Artist,Cycle,Leadership,Critical Thinking,Quiz Competition,Yes,19.0,20.0,10.0,46.53,Good,Medium,,7.0,Needs Improvement,63.0,92.0,53.0,95.0,83.0,96.0,80.33,Pass,Good
,Fateh Deol,Farhan Halder,Kabir Mand,16.0,,1st,A,7.0,Ahmedabad,Maharashtra,93.1,5.9,6.5,6.6,No,No,No,Low,Post Graduate,4.0,Hindi,,Chess,Pizza,Vegan,Engineer,Walking,Python,Public Speaking,Coding Club,Yes,18.0,15.0,1.0,47.18,,Medium,,,,46.0,98.0,69.0,53.0,80.0,77.0,70.5,Pass,Good
STU02982,Rasha Seshadri,Uthkarsh Dyal,Kiaan Banik,17.0,Female,3rd,D,26.0,Lucknow,Uttar Pradesh,61.4,7.0,7.2,9.2,No,No,No,Low,Graduate,,Social Science,Maths,,Burger,Vegan,Engineer,Auto,Critical Thinking,Video Editing,Debate Club,Yes,16.0,13.0,6.0,45.61,Average,Low,6.0,4.0,Needs Improvement,99.0,84.0,79.0,66.0,89.0,61.0,79.67,Pass,Good
STU02983,,Anahi Sanghvi,Aniruddh Walla,15.0,Male,,D,4.0,,Gujarat,69.84,7.2,6.6,9.3,No,Yes,Yes,Low,Graduate,3.0,Computer,English,Basketball,Burger,,Engineer,Private Vehicle,Video Editing,Python,Art Club,Yes,16.0,17.0,3.0,62.19,Good,Low,,3.0,Excellent,82.0,100.0,44.0,55.0,40.0,93.0,69.0,Fail,Average
STU02984,,Hrishita Bora,,14.0,Female,12th,A,50.0,Mumbai,,68.27,4.9,4.4,,,No,Yes,Medium,Graduate,,Hindi,,Badminton,Dosa,Vegetarian,Artist,Walking,Problem Solving,Python,Coding Club,Yes,1.0,23.0,7.0,47.59,Average,Medium,4.0,8.0,Good,80.0,84.0,70.0,97.0,39.0,56.0,71.0,Pass,Good
STU02985,Jayan Khare,Kartik Khurana,Mehul Bajwa,8.0,Female,3rd,B,26.0,Patna,Telangana,74.28,2.8,5.5,10.0,Yes,No,Yes,Medium,Primary,5.0,Maths,,Kabaddi,,Non-Vegetarian,Artist,Walking,Video Editing,Communication,Drama,No,18.0,20.0,11.0,60.36,Good,Low,,3.0,Needs Improvement,90.0,69.0,37.0,86.0,100.0,57.0,,Pass,Good
STU02986,Chirag Basak,Riya Sane,Arnav Sama,16.0,Male,1st,B,26.0,Hyderabad,Telangana,,3.7,5.8,9.4,No,No,No,,Post Graduate,,English,Hindi,Athletics,Paneer,Vegetarian,Artist,Walking,Creativity,Leadership,Quiz Competition,,0.0,21.0,7.0,48.32,Average,Medium,2.0,5.0,Needs Improvement,40.0,65.0,81.0,48.0,96.0,77.0,67.83,Pass,Average
STU02987,Reyansh Sunder,Bhamini Arya,Divij Cherian,8.0,Male,9th,B,9.0,,Maharashtra,62.21,1.1,5.7,4.2,No,,No,High,Graduate,1.0,,Maths,Chess,Dosa,Vegan,Business,Cycle,Public Speaking,Python,Science Fair,Yes,0.0,10.0,2.0,70.96,Good,High,2.0,7.0,Average,57.0,74.0,37.0,82.0,46.0,61.0,59.5,Pass,Average
STU02988,Hridaan Agate,Riya Raja,Sumer Ratta,16.0,Female,10th,A,10.0,Lucknow,,55.84,7.6,5.3,3.4,No,No,,Low,Primary,,Maths,Computer,Chess,Dosa,Non-Vegetarian,Scientist,Bus,Python,Video Editing,Science Fair,No,13.0,20.0,2.0,,Good,Medium,4.0,1.0,Excellent,,88.0,36.0,99.0,,84.0,77.0,Pass,Good
STU02989,Samarth Wason,Yuvraj  Sura,Aradhya Samra,10.0,Female,12th,B,31.0,Bhopal,Gujarat,89.61,2.4,6.5,2.8,No,No,No,Medium,Post Graduate,4.0,Hindi,English,Badminton,Burger,Vegan,Teacher,Walking,Video Editing,Critical Thinking,Art Club,Yes,8.0,13.0,8.0,50.67,,High,5.0,1.0,Good,81.0,92.0,63.0,52.0,65.0,83.0,72.67,Pass,Good
STU02990,Jhanvi Sibal,Shalv Chad,Jayesh Dhar,8.0,Female,4th,C,43.0,Ahmedabad,Rajasthan,72.67,3.3,9.8,8.2,Yes,Yes,No,,Post Graduate,1.0,Hindi,English,Tennis,Burger,,Athlete,Walking,Creativity,Communication,Drama,Yes,18.0,25.0,11.0,71.75,Good,Low,8.0,2.0,Good,61.0,,76.0,,64.0,82.0,68.33,,Average
STU02991,Hansh Soni,Ryan Sane,Manikya Lala,12.0,Male,11th,C,22.0,Mumbai,Gujarat,65.54,4.3,5.2,6.3,No,Yes,Yes,Medium,Primary,1.0,Maths,Hindi,Badminton,Paneer,Vegetarian,Artist,Private Vehicle,Leadership,Python,Art Club,Yes,2.0,12.0,1.0,82.06,Poor,,,1.0,,77.0,99.0,53.0,63.0,37.0,45.0,62.33,Pass,Average
STU02992,Alia Kala,Biju Choudhry,,9.0,Male,1st,A,23.0,,,73.11,6.9,8.7,4.4,Yes,No,Yes,High,Post Graduate,1.0,English,English,Hockey,Paneer,Vegetarian,Engineer,Auto,,Problem Solving,Debate Club,No,1.0,0.0,2.0,99.1,Poor,Medium,7.0,7.0,Good,39.0,63.0,74.0,,75.0,51.0,56.67,Pass,Average
STU02993,Yashvi Kalla,Lagan Sastry,Shamik Rout,11.0,Female,3rd,A,53.0,Patna,Maharashtra,77.7,2.0,7.9,5.6,No,No,No,High,Secondary,5.0,English,Social Science,Hockey,Biryani,Vegan,Artist,,Public Speaking,Problem Solving,Dance,Yes,13.0,22.0,2.0,94.57,,Medium,,1.0,Excellent,53.0,50.0,98.0,53.0,81.0,61.0,66.0,Pass,Average
STU02994,Tara Shere,Uthkarsh Tank,Nirvaan Agarwal,17.0,,11th,C,,Indore,Gujarat,57.28,4.9,,9.7,Yes,No,Yes,Low,Secondary,,Computer,English,Badminton,Dosa,Non-Vegetarian,Scientist,Cycle,Leadership,Creativity,NCC,No,12.0,0.0,12.0,47.71,Poor,Medium,3.0,10.0,Needs Improvement,87.0,80.0,58.0,62.0,44.0,45.0,62.67,Fail,Average
,Ivana Karan,Raunak Sachdev,,12.0,Male,2nd,C,54.0,Hyderabad,Maharashtra,91.24,7.5,8.4,3.9,No,Yes,,Low,,1.0,English,English,Cricket,Pasta,Non-Vegetarian,Artist,Bus,,Problem Solving,Drama,Yes,17.0,18.0,7.0,,Average,High,8.0,6.0,,,76.0,42.0,53.0,69.0,48.0,55.5,Fail,Average
STU02996,Riaan Walla,Madhav Lalla,Lakshit Jhaveri,8.0,Male,1st,,38.0,,Maharashtra,93.88,7.2,6.6,5.1,Yes,No,Yes,High,Post Graduate,2.0,Computer,Hindi,Chess,,Vegetarian,Engineer,Bus,Public Speaking,Teamwork,Science Fair,Yes,1.0,8.0,7.0,73.05,Good,Low,5.0,8.0,Needs Improvement,90.0,49.0,55.0,65.0,91.0,53.0,67.17,Fail,Average
STU02997,Anahi Dugar,Suhana Arya,Ritvik Raj,9.0,Male,10th,D,2.0,Hyderabad,Madhya Pradesh,64.48,6.7,9.0,6.1,Yes,Yes,No,High,Primary,2.0,Social Science,English,Basketball,,Vegetarian,Doctor,Auto,Python,Communication,Quiz Competition,,2.0,,5.0,98.86,Poor,Medium,2.0,10.0,Excellent,60.0,56.0,61.0,,55.0,98.0,67.0,Pass,Average
STU02998,Trisha Manne,Ojas Krishna,Kabir Agate,13.0,Male,6th,C,45.0,Delhi,Madhya Pradesh,95.16,3.8,,9.2,No,No,Yes,High,Graduate,2.0,Maths,Maths,Chess,Paneer,Non-Vegetarian,Teacher,Auto,Python,Python,Coding Club,No,,6.0,,91.28,Poor,High,3.0,4.0,Needs Improvement,94.0,61.0,84.0,75.0,53.0,52.0,69.83,Pass,Average
STU02999,Suhana Sunder,Armaan Ranganathan,Purab Venkataraman,12.0,Male,8th,A,22.0,Pune,Rajasthan,91.42,,7.0,9.4,No,,Yes,Medium,Post Graduate,1.0,Computer,Maths,Badminton,Dosa,Non-Vegetarian,Athlete,Private Vehicle,Leadership,Problem Solving,Art Club,,13.0,14.0,12.0,96.66,Good,Low,7.0,8.0,Needs Improvement,96.0,62.0,86.0,96.0,39.0,,69.0,Fail,Average
,Hridaan Brahmbhatt,Damini Tiwari,,11.0,Female,7th,,34.0,Patna,Uttar Pradesh,98.29,2.7,7.0,4.0,Yes,Yes,Yes,High,Post Graduate,1.0,Computer,Science,Cricket,Biryani,Vegan,Athlete,,Video Editing,Video Editing,Debate Club,No,12.0,8.0,4.0,45.98,,Medium,4.0,1.0,Good,80.0,83.0,85.0,35.0,57.0,47.0,64.5,Pass,Average
STU03001,Anvi Vasa,Mohanlal Ramachandran,Samarth Zacharia,11.0,Female,7th,A,24.0,Ahmedabad,Telangana,74.49,2.0,4.6,5.9,No,No,No,,Primary,0.0,Hindi,Social Science,Athletics,Pizza,Vegetarian,Engineer,Private Vehicle,Creativity,Problem Solving,Coding Club,Yes,19.0,2.0,6.0,89.39,Poor,Medium,7.0,3.0,Excellent,,,59.0,41.0,45.0,65.0,57.0,Pass,Average
STU03002,Tarini Acharya,Vedika Dani,Anya Mane,16.0,Female,11th,,52.0,Mumbai,Telangana,68.84,7.9,9.4,1.3,No,Yes,No,High,Post Graduate,1.0,Social Science,Social Science,Kabaddi,Pasta,Vegetarian,Engineer,Bus,Leadership,Leadership,Art Club,Yes,20.0,16.0,,,Good,High,10.0,9.0,Needs Improvement,90.0,73.0,35.0,63.0,67.0,46.0,62.33,,Average
STU03003,Vihaan Ramesh,Arhaan Kalla,Nehmat Soni,9.0,Female,,D,55.0,,Rajasthan,80.19,3.7,4.6,9.7,No,No,No,Low,Secondary,0.0,Maths,Science,Chess,Biryani,Vegan,Engineer,Cycle,,Public Speaking,Music,Yes,,,7.0,,Poor,High,1.0,4.0,Good,63.0,63.0,81.0,83.0,99.0,93.0,80.33,Pass,Good
STU03004,Misha Gokhale,Azad Lad,Bhamini Sibal,16.0,Male,9th,B,18.0,Ahmedabad,Madhya Pradesh,62.06,6.2,6.9,6.9,No,No,No,Low,Primary,5.0,,Maths,,Burger,Vegan,Business,Walking,Communication,Teamwork,Debate Club,No,2.0,15.0,7.0,92.52,,Low,,6.0,Needs Improvement,36.0,87.0,40.0,65.0,40.0,60.0,54.67,Pass,Average
STU03005,Ayesha Sekhon,Nitya Dugar,Mahika Manda,18.0,Female,10th,,55.0,Patna,Uttar Pradesh,78.09,4.3,4.2,8.0,Yes,,Yes,High,Post Graduate,4.0,English,Social Science,Basketball,Pasta,Non-Vegetarian,Artist,Auto,Problem Solving,Teamwork,Debate Club,Yes,19.0,15.0,9.0,83.63,Good,Medium,9.0,4.0,,76.0,57.0,55.0,67.0,35.0,36.0,54.33,Pass,Average
STU03006,Faiyaz Tata,,Bhavin Choudhary,13.0,Male,2nd,B,60.0,Jaipur,Madhya Pradesh,60.48,6.0,8.8,,Yes,No,Yes,Low,Graduate,2.0,Social Science,Science,Cricket,Paneer,Vegetarian,Teacher,Auto,Leadership,Video Editing,Dance,No,2.0,6.0,6.0,51.95,Good,High,,4.0,Excellent,90.0,62.0,70.0,84.0,66.0,36.0,68.0,Pass,Average
STU03007,Veer Dhaliwal,Hridaan Kohli,Elakshi Rajan,13.0,Female,7th,D,,Ahmedabad,Madhya Pradesh,70.25,1.1,4.7,7.2,Yes,Yes,Yes,Low,Primary,5.0,Hindi,Maths,Football,Pizza,Non-Vegetarian,Engineer,,Graphic Design,Video Editing,Coding Club,Yes,,5.0,7.0,70.85,Poor,,2.0,10.0,Good,39.0,56.0,40.0,94.0,56.0,,54.0,,Average
STU03008,Saanvi Lalla,Oorja Keer,Amani Bal,6.0,Male,6th,,,Lucknow,Rajasthan,97.03,7.1,5.1,2.1,Yes,No,No,Low,Post Graduate,1.0,Maths,Science,Hockey,Dosa,Vegan,Business,Bus,Problem Solving,Teamwork,Sports Club,No,7.0,16.0,12.0,,Average,High,9.0,6.0,Needs Improvement,77.0,43.0,90.0,53.0,40.0,82.0,64.17,Fail,Average
STU03009,Ivan Gara,Indrans Krishna,Fateh Chopra,16.0,Female,6th,D,43.0,Indore,Madhya Pradesh,85.57,7.6,5.4,4.0,No,Yes,No,,Graduate,1.0,Hindi,Hindi,Volleyball,Pasta,Non-Vegetarian,Engineer,Walking,Public Speaking,Problem Solving,Art Club,Yes,11.0,5.0,0.0,88.94,,Low,1.0,,Needs Improvement,64.0,,56.0,35.0,74.0,68.0,62.0,Pass,Average
STU03010,Aaina Varghese,,Yuvaan Kannan,,Male,11th,D,1.0,Delhi,Gujarat,80.1,6.3,6.3,3.7,No,Yes,Yes,Low,Post Graduate,4.0,Maths,Social Science,Kabaddi,Paneer,Non-Vegetarian,,Bus,,Leadership,Sports Club,Yes,17.0,4.0,4.0,62.8,Average,Medium,,8.0,Average,50.0,86.0,52.0,64.0,81.0,99.0,72.0,Pass,Good
STU03011,Manikya Gera,,,7.0,Male,9th,A,26.0,Indore,Rajasthan,83.17,1.4,4.6,2.4,No,Yes,No,Low,Graduate,3.0,English,Social Science,Football,Dosa,Non-Vegetarian,,Walking,Critical Thinking,Leadership,Quiz Competition,Yes,8.0,23.0,11.0,63.89,Average,Medium,6.0,,Needs Improvement,64.0,73.0,43.0,91.0,62.0,44.0,,Pass,
STU03012,Sara Baral,Ivana Ramanathan,Sana Chakraborty,11.0,Male,8th,C,60.0,Bhopal,Maharashtra,52.87,3.2,4.4,2.2,Yes,Yes,Yes,Medium,Secondary,0.0,Computer,Science,Hockey,Dosa,Vegetarian,Artist,Auto,Graphic Design,Creativity,Drama,No,12.0,18.0,6.0,74.59,Good,Medium,,,Average,74.0,86.0,71.0,82.0,,66.0,,Fail,Good
STU03013,Aayush Ravi,Purab Dhar,Ivana Shan,14.0,Female,12th,B,47.0,Patna,Telangana,63.15,,8.8,7.1,No,Yes,Yes,Medium,Secondary,1.0,,English,Volleyball,Dosa,Non-Vegetarian,Athlete,,Video Editing,Critical Thinking,Sports Club,Yes,17.0,10.0,4.0,84.54,Good,High,2.0,6.0,Average,92.0,86.0,92.0,67.0,38.0,84.0,76.5,Fail,Good
STU03014,Advik Sodhi,Inaaya  Rao,Azad Kale,9.0,Male,12th,B,47.0,Bhopal,Rajasthan,66.64,1.1,6.9,8.1,No,No,Yes,,Secondary,3.0,Science,Hindi,Kabaddi,Biryani,Non-Vegetarian,Teacher,Bus,Communication,Teamwork,Coding Club,No,11.0,21.0,5.0,95.03,Poor,Low,3.0,4.0,Average,66.0,44.0,60.0,49.0,86.0,58.0,60.5,Pass,Average
STU03015,Baiju Kannan,Bhavin Chandra,Aarna Deshpande,16.0,Male,8th,D,27.0,Jaipur,Madhya Pradesh,68.13,3.5,6.5,8.0,Yes,Yes,Yes,Low,Primary,4.0,Maths,Hindi,Tennis,Pizza,Vegetarian,Engineer,Cycle,,Problem Solving,NCC,No,10.0,18.0,9.0,75.4,Average,Low,10.0,10.0,Good,,79.0,62.0,91.0,93.0,90.0,84.67,Pass,Good
STU03016,Diya Handa,Anvi Atwal,Romil Comar,6.0,Male,1st,B,8.0,Jaipur,Telangana,76.1,4.0,9.6,6.4,Yes,Yes,No,Medium,Primary,5.0,Science,Hindi,Badminton,Paneer,Vegan,Artist,,Communication,Graphic Design,Art Club,Yes,11.0,,10.0,75.72,Average,High,2.0,3.0,Needs Improvement,95.0,70.0,83.0,90.0,40.0,52.0,71.67,Pass,Good
STU03017,Kismat Raval,Hridaan Yogi,Shalv Maharaj,16.0,Female,3rd,A,13.0,Delhi,Telangana,,6.8,5.5,3.7,Yes,Yes,No,High,Graduate,4.0,,Maths,,Pizza,Non-Vegetarian,IAS,Bus,Communication,Critical Thinking,Quiz Competition,,1.0,10.0,2.0,63.62,Average,Medium,4.0,3.0,Good,72.0,79.0,77.0,98.0,88.0,76.0,81.67,Fail,Good
STU03018,Aarna Jani,Ahana  Soni,Ira Rattan,8.0,Male,,C,23.0,Hyderabad,Maharashtra,,4.7,8.3,4.9,Yes,,Yes,Medium,Post Graduate,1.0,Social Science,Maths,Volleyball,Pizza,Non-Vegetarian,Athlete,Cycle,Python,Leadership,Drama,No,2.0,12.0,4.0,74.21,Average,Medium,2.0,4.0,,75.0,90.0,98.0,41.0,89.0,95.0,,Fail,Good
STU03019,Anaya Bhatt,Sana Bedi,Samaira Sharma,12.0,Female,2nd,C,12.0,Delhi,Telangana,50.28,4.3,5.9,5.3,Yes,Yes,No,Low,Primary,2.0,English,Hindi,Hockey,Paneer,Vegan,Engineer,Private Vehicle,Creativity,Critical Thinking,,Yes,7.0,4.0,12.0,82.17,Poor,Medium,3.0,1.0,Average,64.0,,89.0,58.0,46.0,,64.17,Pass,Average
STU03020,Diya Wali,Mehul Bath,Dharmajan Das,6.0,Male,5th,A,39.0,Ahmedabad,Maharashtra,66.04,5.7,5.0,8.4,Yes,Yes,Yes,High,Primary,4.0,Science,,Tennis,Paneer,Vegetarian,Engineer,Walking,Teamwork,Public Speaking,,No,15.0,,11.0,92.17,Poor,Low,5.0,7.0,Average,73.0,,89.0,89.0,,42.0,78.67,Fail,Good
STU03021,Arnav Yohannan,Emir Baria,Reyansh Goyal,16.0,Female,10th,A,46.0,Ahmedabad,Maharashtra,69.71,1.6,6.3,4.5,Yes,Yes,No,Medium,Graduate,4.0,Maths,English,Tennis,Pasta,Non-Vegetarian,Business,Auto,Communication,Python,Drama,Yes,2.0,25.0,3.0,,Good,Medium,9.0,9.0,Excellent,,51.0,85.0,53.0,59.0,96.0,73.83,Pass,Good
STU03022,Lagan Mand,Ahana  Majumdar,Gatik Magar,6.0,Female,7th,A,21.0,Lucknow,Gujarat,59.54,5.3,6.4,9.6,Yes,Yes,,High,Secondary,4.0,English,Social Science,Chess,Pizza,Non-Vegetarian,Teacher,Bus,Communication,Teamwork,Debate Club,No,14.0,7.0,9.0,94.16,Average,Low,4.0,7.0,Good,66.0,69.0,83.0,,64.0,44.0,61.83,,Average
,Kismat Anne,Indranil Kale,Miraya Badami,7.0,Male,2nd,B,2.0,Jaipur,Maharashtra,86.45,3.7,6.4,7.1,No,Yes,No,Low,,3.0,Hindi,Hindi,Chess,Dosa,Vegetarian,Athlete,Bus,,Critical Thinking,Dance,No,3.0,4.0,8.0,,Good,Medium,3.0,6.0,Average,46.0,68.0,83.0,58.0,79.0,80.0,69.0,Fail,Average
STU03024,Kashvi Gade,Nakul Borra,Aarna Raman,16.0,Male,2nd,,28.0,Ahmedabad,Gujarat,87.15,4.4,,7.5,No,No,No,Low,Graduate,5.0,Computer,Social Science,Badminton,,Non-Vegetarian,Artist,Cycle,Creativity,Python,Coding Club,Yes,8.0,4.0,11.0,52.04,Poor,Low,8.0,6.0,Excellent,65.0,48.0,58.0,87.0,,80.0,70.0,,Good
STU03025,Saksham Lanka,Saira Venkatesh,Drishya Ram,7.0,,,B,17.0,Hyderabad,Rajasthan,53.38,5.4,,7.4,No,No,No,Low,Primary,5.0,English,Maths,Volleyball,Pizza,Non-Vegetarian,Doctor,Bus,Graphic Design,Leadership,Coding Club,No,2.0,,12.0,71.57,Average,Medium,3.0,1.0,Excellent,,36.0,73.0,57.0,77.0,63.0,59.17,Pass,Average
STU03026,Kaira Mammen,Amira Ravel,Aarav Hans,10.0,Male,8th,A,14.0,Jaipur,Rajasthan,,3.6,4.0,8.5,Yes,Yes,Yes,Low,Secondary,1.0,,Hindi,Badminton,Paneer,,,Auto,Creativity,Leadership,Science Fair,Yes,0.0,10.0,5.0,89.03,Good,High,6.0,9.0,Good,69.0,35.0,72.0,41.0,93.0,41.0,58.5,Pass,Average
,Anaya Tata,Ivana Swamy,Umang Kala,10.0,Male,7th,D,52.0,Pune,Madhya Pradesh,59.48,6.7,5.9,8.9,Yes,No,Yes,High,Primary,1.0,Social Science,Computer,,Paneer,Non-Vegetarian,IAS,Bus,Problem Solving,,Quiz Competition,Yes,0.0,19.0,3.0,96.0,Good,Low,5.0,5.0,Average,99.0,,36.0,63.0,90.0,57.0,65.67,Pass,Average
STU03028,Riya Devi,Manjari Wason,Piya Char,14.0,,8th,,55.0,,Telangana,85.3,5.4,4.1,1.3,Yes,Yes,No,Medium,Secondary,5.0,Computer,Hindi,Tennis,Burger,Non-Vegetarian,IAS,Private Vehicle,,Leadership,NCC,,16.0,5.0,2.0,75.54,Average,Medium,5.0,1.0,Average,91.0,53.0,65.0,71.0,56.0,46.0,63.67,Pass,Average
STU03029,Ehsaan Shetty,Bhavin Sachdev,,12.0,Female,10th,C,52.0,Bhopal,Maharashtra,88.48,6.8,8.7,6.4,,No,No,High,Graduate,2.0,English,Social Science,,Pasta,Non-Vegetarian,Doctor,Walking,Python,Critical Thinking,Debate Club,No,20.0,20.0,7.0,,Good,Medium,2.0,7.0,Needs Improvement,52.0,61.0,44.0,96.0,,40.0,61.83,Pass,Average
STU03030,Biju Borra,Veer Ramanathan,Lakshay Gaba,6.0,Female,9th,B,54.0,Delhi,Uttar Pradesh,97.15,6.1,6.3,9.0,No,No,No,High,Primary,3.0,Science,Social Science,Tennis,Biryani,Vegan,Business,Cycle,Graphic Design,Video Editing,Science Fair,Yes,5.0,6.0,6.0,73.78,Poor,Low,6.0,8.0,Good,79.0,82.0,95.0,75.0,50.0,,79.5,Pass,Good
STU03031,,Devansh Sama,Himmat Kamdar,15.0,Male,2nd,D,48.0,Pune,Maharashtra,98.04,2.3,6.3,9.5,Yes,No,Yes,Low,Secondary,0.0,,,Cricket,Pizza,Non-Vegetarian,Scientist,Private Vehicle,Public Speaking,Problem Solving,Quiz Competition,Yes,18.0,14.0,7.0,99.86,Good,Medium,6.0,8.0,Excellent,35.0,61.0,36.0,50.0,86.0,70.0,56.33,Fail,Average
STU03032,Badal Yohannan,Zaina Vig,Ela Bali,,Male,6th,B,59.0,Indore,Maharashtra,90.49,6.9,4.5,9.2,,No,No,Low,Post Graduate,3.0,Computer,Hindi,Cricket,Pizza,Vegan,Artist,Auto,,Leadership,Science Fair,No,,10.0,4.0,96.47,Average,Low,6.0,1.0,Average,37.0,70.0,47.0,53.0,42.0,75.0,54.0,Pass,Average
STU03033,,Dhruv Soni,,8.0,Female,12th,D,25.0,Bhopal,Uttar Pradesh,89.32,1.3,6.7,7.7,No,Yes,Yes,Low,Graduate,3.0,,English,Volleyball,Dosa,Vegetarian,Artist,Private Vehicle,Public Speaking,Public Speaking,Drama,No,0.0,20.0,5.0,59.01,Poor,,6.0,2.0,Needs Improvement,56.0,37.0,85.0,100.0,43.0,73.0,65.67,Pass,Average
STU03034,,Tiya Hora,Adira Deep,11.0,Female,3rd,D,13.0,Bhopal,Rajasthan,89.6,2.4,9.8,4.3,,No,Yes,High,Secondary,0.0,Computer,,,Paneer,Non-Vegetarian,Scientist,Bus,Creativity,Critical Thinking,NCC,No,1.0,5.0,6.0,91.3,Poor,Low,1.0,7.0,Excellent,51.0,97.0,73.0,68.0,56.0,90.0,72.5,Pass,Good
STU03035,Samaira Deshpande,Nitya Saini,Vaibhav Sem,17.0,Male,1st,C,32.0,,Madhya Pradesh,60.22,3.8,5.9,,Yes,Yes,No,Low,Graduate,4.0,Social Science,Social Science,Badminton,,Vegan,Artist,Private Vehicle,Leadership,Public Speaking,Dance,No,7.0,22.0,10.0,,Good,High,6.0,8.0,Excellent,98.0,71.0,42.0,68.0,46.0,62.0,64.5,Pass,Average
STU03036,Eva Sekhon,Nitya Batta,Aniruddh Kannan,15.0,Female,,A,52.0,Lucknow,Uttar Pradesh,77.67,3.5,9.8,7.8,No,Yes,,Medium,Graduate,2.0,Science,Maths,Hockey,Burger,Vegan,,Walking,Leadership,Creativity,,Yes,5.0,16.0,,64.63,Average,Medium,5.0,7.0,Good,35.0,95.0,98.0,75.0,43.0,60.0,67.67,Fail,Average
STU03037,Mohanlal Kapoor,Jayant Joshi,,11.0,Female,11th,A,13.0,Mumbai,Rajasthan,59.01,1.9,5.1,1.5,No,Yes,Yes,Medium,Primary,0.0,Computer,,Volleyball,Pizza,Vegetarian,Engineer,Walking,Creativity,Problem Solving,,,20.0,15.0,7.0,92.26,Average,High,9.0,7.0,Average,,38.0,87.0,50.0,83.0,97.0,73.83,Pass,Good
STU03038,,Indrans Sathe,Piya Maharaj,9.0,Female,12th,D,10.0,Patna,Gujarat,93.91,1.1,9.4,1.4,No,No,No,Low,Post Graduate,1.0,Social Science,English,Cricket,Pasta,Vegetarian,Engineer,Auto,Python,Video Editing,Coding Club,No,,,5.0,53.7,Good,Medium,2.0,9.0,Needs Improvement,97.0,51.0,75.0,,70.0,62.0,72.0,Pass,Good
STU03039,Badal Deshmukh,Zain Kurian,Jivin Sodhi,16.0,Male,4th,D,,Ahmedabad,Madhya Pradesh,73.91,6.2,7.5,5.7,Yes,Yes,Yes,Low,Primary,2.0,Social Science,Computer,Volleyball,Burger,Vegetarian,Doctor,Auto,Creativity,Critical Thinking,Drama,No,15.0,10.0,10.0,91.36,Good,Medium,4.0,5.0,Needs Improvement,57.0,48.0,91.0,86.0,35.0,97.0,69.0,Pass,Average
,Sumer Karpe,Tejas Sastry,Baiju Chada,10.0,Female,10th,C,40.0,Pune,Madhya Pradesh,79.05,1.0,8.0,4.9,No,,Yes,Medium,Primary,3.0,Science,English,Badminton,Paneer,Vegetarian,Athlete,Bus,Creativity,,Drama,Yes,2.0,0.0,3.0,78.9,Average,Low,4.0,1.0,Excellent,47.0,45.0,,53.0,72.0,80.0,57.33,Pass,Average
STU03041,Hazel Gera,Bhamini Ramanathan,Indrans Sawhney,6.0,Female,10th,A,11.0,Patna,Maharashtra,66.89,2.1,8.1,7.3,Yes,,No,High,Graduate,1.0,Social Science,Hindi,Basketball,Pizza,Vegetarian,Teacher,Auto,Teamwork,Problem Solving,Coding Club,Yes,0.0,5.0,6.0,49.82,Good,High,4.0,10.0,Excellent,66.0,46.0,48.0,96.0,40.0,66.0,60.33,Fail,Average
STU03042,Biju Rastogi,Vritika Kar,Indranil Desai,12.0,Male,6th,D,47.0,Indore,Rajasthan,56.0,7.8,8.9,9.5,Yes,Yes,No,Medium,Primary,4.0,Maths,Maths,Chess,Dosa,Vegan,Artist,Private Vehicle,,Creativity,Sports Club,No,20.0,6.0,12.0,75.98,Good,Medium,9.0,9.0,Average,73.0,85.0,87.0,45.0,85.0,71.0,,Pass,Good
STU03043,Tanya Chopra,Zaina Bhattacharyya,Shanaya D’Alia,11.0,Female,4th,A,15.0,Pune,Madhya Pradesh,86.09,6.7,8.0,3.6,No,Yes,Yes,High,Graduate,5.0,Computer,Maths,Tennis,Paneer,Vegetarian,Doctor,Cycle,Creativity,Critical Thinking,Sports Club,No,14.0,1.0,,,Good,High,9.0,7.0,Good,50.0,88.0,38.0,73.0,99.0,56.0,67.33,Pass,Average
